Object,Date,Price,Location,Seller,Image,Link
Miniature Silver Book Decorated Dolls House ? Metal Detecting Find,,8.99,"Newtownards, United Kingdom",wildie91,https://i.ebayimg.com/images/g/RmcAAOSw~yterJER/s-l400.jpg,https://www.ebay.co.uk/itm/Miniature-Silver-Book-Decorated-Dolls-House-Metal-Detecting-Find/254585359267?hash=item3b46784ba3:g:RmcAAOSw~yterJER
Medieval Bronze Seal Matrix 13-14th century.,,99.00,"London, United Kingdom",zokasas,https://i.ebayimg.com/images/g/hkoAAOSwFR5eSUG-/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Bronze-Seal-Matrix-13-14th-century/202979886265?hash=item2f428b44b9:g:hkoAAOSwFR5eSUG-
"Medieval enamelled Heraldic Horse Pendant, unresearched",,22.66,"Newton Abbot, United Kingdom",devoncollector24,https://i.ebayimg.com/images/g/5PwAAOSwHkherEuH/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-enamelled-Heraldic-Horse-Pendant-unresearched/392783761166?hash=item5b73bc8f0e:g:5PwAAOSwHkherEuH
EUROPEAN FINDS ANCIENT ROMAN SILVER DEER BROOCH CIRCA 200 - 300 AD,,12.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/aJgAAOSw7RJept-a/s-l400.jpg,https://www.ebay.co.uk/itm/EUROPEAN-FINDS-ANCIENT-ROMAN-SILVER-DEER-BROOCH-CIRCA-200-300-AD/153910933158?hash=item23d5ce76a6:g:aJgAAOSw7RJept-a
,,199.00,"London, United Kingdom",zokasas,,https://www.ebay.co.uk/itm/13-14th-century-Medieval-Bronze-Seal-Matrix-John-the-Baptist-Stunning-Condition/202979893443?_trkparms=ispr%3D1&hash=item2f428b60c3:g:~aIAAOSw8A1eVDDW&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKxIntehGqQQl8nLx%2FEZs3RuLMOmPe8VLwIAwczE2qbO9W%2Br0bpytZM%2Bhc1jOj%2Fsc4q5X4vV3NaodK04eKhdUZ3cyUgewnIa9716%2FSk3oIR%2Fz%2FL%2B9kz88pzDIrSGJbhSz%2FU%2BZ52%2F720lRsshjydOyz7u06WbcJv4Lr1zf4Y4Vwicn4aBpx0xo3DwtrQOm%2FDD7gckitBl925QcfHMdJn4E6%2BExKUPWzLHqbPBvVatutWV5%2Fw3T1gjX8L3o6vQ9Xz%2FgMWIPeUqG0%2BpG%2BgZeW7Rx5AAOLqWneCS24%2F8KF1oXBhcLgwIQGeS1HJe1XY5DTIJ%2BjFlQliTCZrAi%2FPDZhtPPt2XnMTW9PKPFpMg0GwGiQ8T5UIVnP2QlAbMbrlaafIZ9QgyDryw7hAyEjunjkBjpzr2T7k%2BRx6aQOryZlbUNzpCoKnv13dKNf8HI8i%2FJ46n0LDhnRLx3LQm8HawUL960SxO6iWfyvasp6scMNUcZDEfXQVF07ALgz6pbXPGY3RRgZBMRNNKHyPJb20qMt1CqnFy5rBdHQZCEWWnd3ZzCJTvo8Ec7L%2BvVmBQUpVlepd2Dn2s8fBfZx%2BFpPVBCGUG73fR6s2FO4wgiGvMsBgjxyv%2BnIT18XaCI63blZSXMAkXj9dhb6vYY7O%2F2eg67jSd%2FJS3IRJRKFSC3uYYGYSuQXG4TK1Eo1NP9uOIXSXVGGVazV%2FUJmFlNkxpJmvwX5m7G5IOqpYKw9FF0T2G%2FHc%2B9LW3RkZoxuscAfH7n9In8R6ajo&checksum=20297989344349fc5e4322074abb9edfd965d1fd1808
ANCIENT VIKING ARROWHEAD BRITISH FIND,,19.00,"Evesham, United Kingdom",svistoy-26,https://i.ebayimg.com/images/g/PUIAAOSw7GhemCJj/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-VIKING-ARROWHEAD-BRITISH-FIND/313055753340?_trkparms=ispr%3D1&hash=item48e393b47c:g:PUIAAOSw7GhemCJj&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK9t7xxMj3q%2B%2B%2Bz%2BPuf4iZraotlbmKajiRcmFsIcT8GfCyhOKPw%2Br2q13W3RsFcYumq4%2BgVRaoHb3Xu49hMrvcmCyyO6iWmP1gQvYQ8XKCTe5En7KI6px2wAUDbEQu7r7bvLyWrlbDhXIm5xmWKUO9h2FU%2FmS4my9Z8hoBQvvww8tmrcmyRCUeJEe59kL2CVfuyauBb4l90Ga3hfoDXTS6stN2uqdiqRghXypglYTNvlFht06fb%2FYqLMCk5bjPyoSzrMUP3zR6g68zQJuIInXgR5OymehB0W0o4ZCoNgxHbeSMVGsKslRx1E%2FBi83gdSHK5HGnEQzscegDEmTSxuViHKDDSUwbK5UkD0K4fWjg2HHwBsCJgryIzcX7qbKRHVrcIfWLTfHwOCQ%2F1oMyVqhtcuhSVuUsrxJGDOEn0qBDDYMGCr5Y7zvsrXk04MA8KvSUOn4EghhuMTgi5L2Vl9r3UdQGzQY2dsvtC8c1o8TVa8hGcP7fJvpw9Cf0fM3wFOcO4oPGqT0RdkGk0zlGpMZLdoGouZYYL0FXU%2FdyWr1G28CSFWi9My%2Bgkt6Iydp13yklnj1h6%2BAhpwBMr3auHQ5NovAVUeqTdMSlTAMiTULTju5%2FPGwTytrAm146%2FqtER4KCjxzP22UG58MPfAQpH8GqB8rYNuJqEjdJxftV8vSJYqhN%2Bx4WhKT3qAfokWS8pP6RfEviNq9dZdbQMgCvoPd7aaBqi3tRXieIcovAANNOwDi1BxkPlLzNde4rk30oJGu8&checksum=31305575334049fc5e4322074abb9edfd965d1fd1808
Post Medieval Button,,15.00,"Chichester, United Kingdom",hammokare.oush1g,https://i.ebayimg.com/images/g/35cAAOSwme5eq~wm/s-l400.jpg,https://www.ebay.co.uk/itm/Post-Medieval-Button/233575772126?hash=item3662336fde:g:35cAAOSwme5eq~wm
Great Condition Largish 3-4th C Bronze Brooch,,1.00,"North Antrim Coast, United Kingdom",blueonceagain,https://i.ebayimg.com/images/g/fKEAAOSw9rJerBev/s-l400.jpg,https://www.ebay.co.uk/itm/Great-Condition-Largish-3-4th-C-Bronze-Brooch/274353213549?hash=item3fe0b9d06d:g:fKEAAOSw9rJerBev
Metal detector finds,,0.99,"Chippenham, United Kingdom",metalpop1235,https://i.ebayimg.com/images/g/rtwAAOSwXaZerR~m/s-l400.jpg,https://www.ebay.co.uk/itm/Metal-detector-finds/362984463439?hash=item54838f5c4f:g:rtwAAOSwXaZerR~m
"Brick Tegula, LEG\xc2\xb7X, Legion, faithful, loyal, Roman Imperial, 1st-4th century AD",,1.80,"Marble Arch, United Kingdom",ancient-market,https://i.ebayimg.com/images/g/nZQAAOSwxuJegmIL/s-l400.jpg,https://www.ebay.co.uk/itm/Brick-Tegula-LEG-X-Legion-faithful-loyal-Roman-Imperial-1st-4th-century-AD/264718406848?hash=item3da27254c0:g:nZQAAOSwxuJegmIL
